Date,close,location
2021-01-15,3566.38,China
2021-01-14,3565.9,China
2021-01-13,3598.65,China
2021-01-12,3608.34,China
2021-01-11,3531.5,China
2021-01-08,3570.11,China
2021-01-07,3576.2,China
2021-01-06,3550.88,China
2021-01-05,3528.68,China
2021-01-04,3502.96,China
2020-12-31,3473.07,China
2020-12-30,3414.45,China
2020-12-29,3379.04,China
2020-12-28,3397.29,China
2020-12-25,3396.56,China
2020-12-24,3363.11,China
2020-12-23,3382.32,China
2020-12-22,3356.78,China
2020-12-21,3420.57,China
2020-12-18,3394.9,China
2020-12-17,3404.87,China
2020-12-16,3366.98,China
2020-12-15,3367.23,China
2020-12-14,3369.12,China
2020-12-11,3347.19,China
2020-12-10,3373.28,China
2020-12-09,3371.96,China
2020-12-08,3410.18,China
2020-12-07,3416.6,China
2020-12-04,3444.58,China
2020-12-03,3442.14,China
2020-12-02,3449.38,China
2020-12-01,3451.94,China
2020-11-30,3391.76,China
2020-11-27,3408.31,China
2020-11-26,3369.73,China
2020-11-25,3362.33,China
2020-11-24,3402.82,China
2020-11-23,3414.49,China
2020-11-20,3377.73,China
2020-11-19,3363.09,China
2020-11-18,3347.3,China
2020-11-17,3339.89,China
2020-11-16,3346.97,China
2020-11-13,3310.1,China
2020-11-12,3338.68,China
2020-11-11,3342.2,China
2020-11-10,3360.15,China
2020-11-09,3373.73,China
2020-11-06,3312.16,China
2020-11-05,3320.13,China
2020-11-04,3277.44,China
2020-11-03,3271.07,China
2020-11-02,3225.12,China
2020-10-30,3224.53,China
2020-10-29,3272.73,China
2020-10-28,3269.24,China
2020-10-27,3254.32,China
2020-10-26,3251.12,China
2020-10-23,3278.0,China
2020-10-22,3312.5,China
2020-10-21,3325.02,China
2020-10-20,3328.1,China
2020-10-19,3312.67,China
2020-10-16,3336.36,China
2020-10-15,3332.18,China
2020-10-14,3340.78,China
2020-10-13,3359.75,China
2020-10-12,3358.47,China
2020-10-09,3272.08,China
2020-09-30,3218.05,China
2020-09-29,3224.36,China
2020-09-28,3217.53,China
2020-09-25,3219.42,China
2020-09-24,3223.18,China
2020-09-23,3279.71,China
2020-09-22,3274.3,China
2020-09-21,3316.94,China
2020-09-18,3338.09,China
2020-09-17,3270.43,China
2020-09-16,3283.92,China
2020-09-15,3295.68,China
2020-09-14,3278.81,China
2020-09-11,3260.35,China
2020-09-10,3234.82,China
2020-09-09,3254.63,China
2020-09-08,3316.42,China
2020-09-07,3292.59,China
2020-09-04,3355.37,China
2020-09-03,3384.98,China
2020-09-02,3404.8,China
2020-09-01,3410.61,China
2020-08-31,3395.68,China
2020-08-28,3403.81,China
2020-08-27,3350.11,China
2020-08-26,3329.74,China
2020-08-25,3373.58,China
2020-08-24,3385.64,China
2020-08-21,3380.68,China
2020-08-20,3363.9,China
2020-08-19,3408.13,China
2020-08-18,3451.09,China
2020-08-17,3438.8,China
2020-08-14,3360.1,China
2020-08-13,3320.73,China
2020-08-12,3319.27,China
2020-08-11,3340.29,China
2020-08-10,3379.25,China
2020-08-07,3354.04,China
2020-08-06,3386.46,China
2020-08-05,3377.56,China
2020-08-04,3371.69,China
2020-08-03,3367.97,China
2020-07-31,3310.01,China
2020-07-30,3286.82,China
2020-07-29,3294.55,China
2020-07-28,3227.96,China
2020-07-27,3205.23,China
2020-07-24,3196.77,China
2020-07-23,3325.11,China
2020-07-22,3333.16,China
2020-07-21,3320.89,China
2020-07-20,3314.15,China
2020-07-17,3214.13,China
2020-07-16,3210.1,China
2020-07-15,3361.3,China
2020-07-14,3414.62,China
2020-07-13,3443.29,China
2020-07-10,3383.32,China
2020-07-09,3450.59,China
2020-07-08,3403.44,China
2020-07-07,3345.34,China
2020-07-06,3332.88,China
2020-07-03,3152.81,China
2020-07-02,3090.57,China
2020-07-01,3025.98,China
2020-06-30,2984.67,China
2020-06-29,2961.52,China
2020-06-24,2979.55,China
2020-06-23,2970.62,China
2020-06-22,2965.27,China
